Generation, Lowest, Mean, Highest, Stdev
0, -6.481577129276431, 7.132628705136257, 87.72700044143625, 28.93380961722858
1, -5.796057750765372, 14.41010000394454, 87.72700044143625, 29.243462149694533
2, -5.783825182329737, 14.386674169256983, 87.72700044143625, 29.259520811120485
3, -5.783825182329737, 17.98545091241342, 87.72700044143625, 28.76633547380446
4, -5.783825182329737, 25.15991783898548, 87.72700044143625, 26.343573439069754
5, -5.783825182329737, 28.75869458214192, 87.72700044143625, 24.24511007400827
6, -5.783825182329737, 28.75869458214192, 87.72700044143625, 24.24511007400827
7, 30.20394224923463, 35.95624806845479, 87.72700044143625, 17.256917457660485
8, 30.20394224923463, 35.95624806845479, 87.72700044143625, 17.256917457660485
9, 30.20394224923463, 35.95624806845479, 87.72700044143625, 17.256917457660485
10, 30.20394224923463, 35.95624806845479, 87.72700044143625, 17.256917457660485
